"itemCode","itemValue"
"0080","REV KNEE REPLACEMT-TOTAL"
"0081","REV KNEE REPL-TIBIA COMP"
"0082","REV KNEE REPL-FEMUR COMP"
"0083","REV KNEE REPLACE-PATELLA"
"0084","REV KNEE REPL-TIBIA LIN"
"0085","RESRF HIP,TOTAL-ACET/FEM"
"0086","RESRF HIP,PART-FEM HEAD"
"0087","RESRF HIP,PART-ACETABLUM"
"0091","Trnsplnt live rel donor"
"0092","Trnsplnt live nonrel don"
"0093","Transplant cadaver donor"
"0094","Intra-op neurophys montr"
"0095","Inj or infus glucarpidase"
"0096","Inf 4-Fact Proth Cpx Conc"
"0101","CISTERNAL PUNCTURE"
"0102","Ventriculopunct thru cath"
"0109","Other cranial puncture"
"0110","Intracran pressure montr"
"0111","CLOS CEREB MENINGES BX"
"0112","Open cereb meninges bx"
"0113","CLOSED BRAIN BIOPSY"
"0114","Open brain biopsy"
"0115","Skull biopsy"
"0116","Intracranial 02 monitor"
"0117","Brain temp monitoring"
"0118","Other brain dx procedure"
"0119","Other skull dx procedure"
"0120","Cran imp/rep n sti puls gn"
"0121","Cranial sinus i & d"
"0122","Removal brain stim lead"
"0123","Reopen craniotomy site"
"0124","Other craniotomy"
"0125","Other craniectomy"
"0126","INS CATH CRANIAL CAV/TIS"
"0127","REM CATH CRANIAL CAV/TIS"
"0128","INTRACEREB CTH-BURR HOLE"
"0129","Rem cran n sti pulse gen"
"0131","Incise cerebral meninges"
"0132","Lobotomy & tractotomy"
"0139","Other brain incision"
"0141","Thalamus operations"
"0142","Globus pallidus ops"
"0151","Ex cereb meningeal les"
"0152","Hemispherectomy"
"0153","Brain lobectomy"
"0159","Other brain excision"
"016","Excise skull lesion"
"0201","Linear craniectomy"
"0202","Elevate skull fx fragmnt"
"0203","Skull flap formation"
"0204","Bone graft to skull"
"0205","Skull plate insertion"
"0206","Cranial osteoplasty NEC"
"0207","Skull plate removal"
"0211","Simple suture of dura"
"0212","Brain meninge repair NEC"
"0213","Meninge vessel ligation"
"0214","Choroid plexectomy"
"022","Ventriculostomy"
"0221","Ins/repl EVD"
"0222","Intracran vent shunt/anas"
"0231","Ventricl shunt-head/neck"
"0232","Ventri shunt-circula sys"
"0233","Ventricl shunt-thorax"
"0234","Ventricl shunt-abdomen"
"0235","Ventri shunt-uninary sys"
"0239","Other ventricular shunt"
"0241","IRRIGATE VENTRICLE SHUNT"
"0242","Replace ventricle shunt"
"0243","Remove ventricle shunt"
"0291","Lysis cortical adhesion"
"0292","Brain repair"
"0293","Imp/repl brain stim lead"
"0294","Insert/replac skull tong"
"0295","REMOVE SKULL TONGS"
"0296","INSERT SPHENOID ELECTROD"
"0299","Skull & brain op NEC"
"0301","Removal FB spinal canal"
"0302","Reopen laminectomy site"
"0309","Spinal canal explor NEC"
"031","Intraspin nerve root div"
"0321","Percutaneous chordotomy"
"0329","Other chordotomy"
"0331","Spinal tap"
"0332","Spinal cord/meninges bx"
"0339","Other spinal dx proc"
"034","Excis spinal cord lesion"
"0351","Spine meningocele repair"
"0352","Myelomeningocel repair"
"0353","Vertebral fx repair"
"0359","Spinal struct repair NEC"
"036","Spinal cord adhesiolysis"
"0371","Subarach-periton shunt"
"0372","Subarach-ureteral shunt"
"0379","Oth spinal thecal shunt"
"038","DESTR INJECT-SPINE CANAL"
"0390","INSERT SPINAL CANAL CATH"
"0391","ANESTH INJECT-SPIN CANAL"
"0392","SPINAL CANAL INJECT NEC"
"0393","Imp/repl spine stim lead"
"0394","Removal spine stim lead"
"0395","SPINAL PATCH"
"0396","PERCUTAN FACET DENERVAT"
"0397","Revise spine theca shunt"
"0398","Remove spine theca shunt"
"0399","Spine canal struc op NEC"
"0401","Excision acoustc neuroma"
"0402","Trigeminal nerv division"
"0403","Periph nerve div NEC"
"0404","Periph nerve incis NEC"
"0405","Gasserian ganglionectomy"
"0406","Periph ganglionect NEC"
"0407","Periph nerv excision NEC"
"0411","CLOS PERIPH NERVE BIOPSY"
"0412","Open periph nerve biopsy"
"0419","Periph nerve dx proc NEC"
"042","PERIPH NERVE DESTRUCTION"
"043","Peripheral nerve suture"
"0441","Decompress trigem root"
"0442","Cran nerv root decom NEC"
"0443","Carpal tunnel release"
"0444","Tarsal tunnel release"
"0449","Per nerve adhesiolys NEC"
"045","Peripheral nerve graft"
"046","Periph nerve transposit"
"0471","Hypogloss-facial anastom"
"0472","Accessory-facial anastom"
"0473","Access- hypogloss anasto"
"0474","Periph nerv anastom NEC"
"0475","Postop revis per nerv op"
"0476","Late repair per nerv inj"
"0479","Other neuroplasty"
"0480","PERIPH NERVE INJECT NOS"
"0481","ANESTH INJEC PERIPH NERV"
"0489","PERIPH NERVE INJECT NEC"
"0491","Neurectasis"
"0492","Imp/repl peri stim lead"
"0493","Removal peri stim lead"
"0499","Peripheral nerve ops NEC"
"050","Sympath nerve division"
"0511","Sympathetic nerve biopsy"
"0519","Sympath nrv dx proc NEC"
"0521","Sphenopalatin ganglionec"
"0522","Cervical sympathectomy"
"0523","Lumbar sympathectomy"
"0524","Presacral sympathectomy"
"0525","Periart sympathectomy"
"0529","Other sympathectomy"
"0531","ANESTH INJECT SYMP NERVE"
"0532","NEUROLYT INJEC-SYMP NRV"
"0539","SYMPATH NERVE INJECT NEC"
"0581","Sympathetic nerve repair"
"0589","Sympathetic nerve op NEC"
"059","Other nervous system ops"
"0601","THYROID FIELD ASPIRATION"
"0602","Reopen thyroid field wnd"
"0609","Incis thyroid field NEC"
"0611","CLOSED THYROID GLAND BX"
"0612","Open thyroid gland bx"
"0613","Parathyroid biopsy"
"0619","Thyr/parathy dx proc NEC"
"062","Unilat thyroid lobectomy"
"0631","Excision thyroid lesion"
"0639","Part thyroidectomy NEC"
"064","Complete thyroidectomy"
"0650","Substern thyroidect NOS"
"0651","Part substern thyroidect"
"0652","Tot substern thyroidect"
"066","Lingual thyroid excision"
"067","Thyrogloss duct excision"
"0681","Total parathyroidectomy"
"0689","Other parathyroidectomy"
"0691","Thyroid isthmus division"
"0692","Thyroid vessel ligation"
"0693","Thyroid suture"
"0694","Thyroid reimplantation"
"0695","Parathyroid reimplant"
"0698","Other thyroid operations"
"0699","Other parathyroid ops"
"0700","Adrenal exploration NOS"
"0701","Unilat adrenal explorat"
"0702","Bilat adrenal explorat"
"0711","CLOSED ADRENAL GLAND BX"
"0712","Open adrenal gland bx"
"0713","Transfront pituitary bx"
"0714","Transphen pituitary bx"
"0715","Pituitary biopsy NOS"
"0716","Thymus biopsy"
"0717","Pineal biopsy"
"0719","Endocrine dx proc NEC"
"0721","Adrenal lesion excision"
"0722","Unilateral adrenalectomy"
"0729","Part adrenalectomy NEC"
"073","Bilateral adrenalectomy"
"0741","Adrenal incision"
"0742","Adrenal nerve division"
"0743","Adrenal vessel ligation"
"0744","Adrenal repair"
"0745","Adrenal reimplantation"
"0749","Adrenal operation NEC"
"0751","Pineal field exploration"
"0752","Pineal gland incision"
"0753","Partial pinealectomy"
"0754","Total pinealectomy"
"0759","Pineal operation NEC"
"0761","Exc pituit les-transfron"
"0762","Exc pituit les-transphen"
"0763","Part excis pituitary NOS"
"0764","Tot exc pituit-transfron"
"0765","Tot exc pituit-transphen"
"0768","Total exc pituitary NEC"
"0769","Total exc pituitary NOS"
"0771","Pituitary fossa explorat"
"0772","Pituitary gland incision"
"0779","Pituitary operation NEC"
"0780","Thymectomy NOS"
"0781","Oth part excision thymus"
"0782","Oth totl excision thymus"
"0783","Thorac part excisn thymus"
"0784","Thorac total exc thymus"
"0791","Thymus field exploration"
"0792","Other incision of thymus"
"0793","Repair of thymus"
"0794","Thymus transplantation"
"0795","Thorac incision thymus"
"0798","Oth thorac op thymus NOS"
"0799","Other thymus ops NOS"
"0801","INCISION OF LID MARGIN"
"0802","BLEPHARORRHAPHY SEVERING"
"0809","OTHER EYELID INCISION"
"0811","Eyelid biopsy"
"0819","EYELID DX PROCEDURE NEC"
"0820","Remove eyelid lesion NOS"
"0821","Chalazion excision"
"0822","Excise minor les lid NEC"
"0823","Exc maj les lid prt-thic"
"0824","Exc maj les lid ful-thic"
"0825","Destruction lid lesion"
"0831","Ptosis rep-front mus sut"
"0832","Ptosis rep-fron mus slng"
"0833","Ptosis rep-levat mus adv"
"0834","Ptosis rep-levat mus NEC"
"0835","Ptos rep-tarsal techniq"
"0836","Blepharoptos repair NEC"
"0837","Reduc overcorrect ptosis"
"0838","Correct lid retraction"
"0841","Thermocaut/entropion rep"
"0842","Suture entropion repair"
"0843","Wedg resec entropion rep"
"0844","Lid recons entropion rep"
"0849","Entropion/ectrop rep NEC"
"0851","Canthotomy"
"0852","Blepharorrhaphy"
"0859","Adjust lid position NEC"
"0861","Lid reconst w skin graft"
"0862","Lid reconst w muc graft"
"0863","Lid reconst w hair graft"
"0864","Lid recon-tarsoconj flap"
"0869","Lid reconstr w graft NEC"
"0870","Lid reconstruction NOS"
"0871","Lid marg recon-part thic"
"0872","Lid recons-part thic NEC"
"0873","Lid marg recons ful thic"
"0874","Lid reconst-ful thic NEC"
"0881","Lin rep lacer eyelid/brow"
"0882","Rep lac inv lid mar par-th"
"0883","Oth rep lid lacer, par-th"
"0884","Rep lac inv lid mar ful-th"
"0885","Oth rep lid lacer, ful-th"
"0886","Lower eyelid rhytidectomy"
"0887","Upper eyelid rhytidectomy"
"0889","Other eyelid repair"
"0891","Electrosurg lid epilat"
"0892","Cryosurg lid epilation"
"0893","Eyelid epilation NEC"
"0899","Eyelid operation NEC"
"090","Lacrimal gland incision"
"0911","Lacrimal gland biopsy"
"0912","Lacrimal sac biopsy"
"0919","Lacrimal sys dx proc NEC"
"0920","Exc lacrimal gland NOS"
"0921","Excis les lacrimal gland"
"0922","Part dacryoadenect NEC"
"0923","Total dacryoadenectomy"
"093","Other lacrimal gland ops"
"0941","Lacrimal punctum probe"
"0942","Lac canaliculi probe"
"0943","Nasolacrimal duct probe"
"0944","Nasolac duct intubat"
"0949","Lac passage manip NEC"
"0951","Lac punctum incision"
"0952","Lac canaliculi incision"
"0953","Lacrimal sac incision"
"0959","Lacrim passage incis NEC"
"096","Lacrim sac/passage excis"
"0971","Correct everted punctum"
"0972","Punctum repair NEC"
"0973","Canaliculus repair"
"0981","Dacryocystorhinostomy"
"0982","Conjunctivocystorhinost"
"0983","Conjunctivorhinos w tube"
"0991","Lac punctum obliteration"
"0999","Lacrimal system op NEC"
"100","Incise/remov conjunct FB"
"1007700","การบริบาลหญิงตั้งครรภ์ด้วยการนวดที่ศีรษะ"
"1007701","การบริบาลหญิงตั้งครรภ์ด้วยการประคบที่ศีรษะ"
"1007713","การบริบาลหญิงหลังคลอดด้วยการนวดที่ศีรษะ"
"1007714","การบริบาลหญิงหลังคลอดด้วยการประคบสมุนไพรที่ศีรษะ"
"1007810","การนวดด้วยยาหรือน้ำมันหอมระเหยที่ศีรษะ"
"1007811","การนวดด้วยวิธีการแพทย์แผนไทยแบบราชสำนักที่ศีรษะ"
"1007812","การนวดด้วยวิธีการแพทย์แผนไทยแบบเชลยศักดิ์ที่ศีรษะ"
"1007818","การนวดด้วยวิธีการแพทย์แผนไทยแบบอื่นที่ศีรษะ"
"1007819","การนวดด้วยวิธีการแพทย์แผนไทย ไม่ระบุรายละเอียดที่ศีรษะ"
"1007820","การประคบด้วยสมุนไพรที่ศีรษะ"
"1007821","การประคบความร้อนที่ศีรษะ"
"1007822","การประคบความเย็นที่ศีรษะ"
"101","Conjunctiva incision NEC"
"1010000","Physical examination on scalp"
"1010400","Biopsy of scalp"
"1011100","Removal of sutures on scalp"
"1011101","Removal of foreign body from scalp"
"1011700","Application of pressure dressing on scalp"
"1012200","Aspiration of scalp"
"1012201","Drainage of scalp"
"1012400","Release of scar on scalp"
"1012600","Debridement of scalp"
"1012601","Excision of lesion of scalp"
"1012602","Wide excision of scalp"
"1012800","Destruction of lesion of scalp"
"1013900","Repair of laceration or wound of scalp"
"1014300","Insertion of tissue expander into scalp"
"1014800","Closure of wound of scalp by skin graft"
"1014801","Closure of wound of scalp by flap"
"1014802","Reconstruction of scalp"
"1018000","Wound dressing on scalp"
"1019999","Other procedures and operations on scalp"
"1021","Conjunctival biopsy"
"1029","Conjunctiva dx proc NEC"
"1031","Excise conjunctiv lesion"
"1032","Destruct conjunc les NEC"
"1033","Oth conjunc destruc proc"
"1041","Symbleph rep w free grft"
"1042","Graft conjunc cul-de-sac"
"1043","Conjun cul-de-sac rx NEC"
"1044","Conjunc free graft NEC"
"1049","Conjunctivoplasty NEC"
"105","Conjunc/lid adhesiolysis"
"1050500","Plain radiography of skull (PA and lateral)	"
"1050501","Plain radiography of skull series (AP and lateral and Townes view)"
"1050502","Plain radiography of skull, special view"
"1050592","Cephalogram"
"1053908","Other repair of skull"
"1054400","Insertion of skull plate"
"1054500","Operative removal of skull plate"
"1054600","Replacement of skull plate"
"1054700","Revision of bone flap of skull"
"1057410","Cranial prosthesis"
"1059999","Other procedures and operations on skull"
"106","Repair conjunct lacerat"
"1091","Subconjunctival inject"
"1099","Conjunctival op NEC"
"110","Magnet removal cornea FB"
"111","Corneal incision"
"1121","Corneal scrape for smear"
"1122","Corneal biopsy"
"1129","Corneal dx proc NEC"
"1131","Pterygium transposition"
"1132","Pteryg exc w cornea grft"
"1139","Pterygium excision NEC"
"1141","Mech remov cornea epith"
"1142","Thermocaut cornea lesion"
"1143","Cryotherap cornea lesion"
"1149","Destruct cornea les NEC"
"1151","Suture cornea laceration"
"1152","Rep cornea postop dehisc"
"1153","Rx cornea lac w conj flp"
"1159","Corneal repair NEC"
"1160","Corneal transplant NOS"
"1161","Lam keratplast w autgrft"
"1162","Lamellar keratoplast NEC"
"1163","Perf keratopl w autogrft"
"1164","Perforat keratoplast NEC"
"1169","Corneal transplant NEC"
"1171","Keratomileusis"
"1172","Keratophakia"
"1173","Keratoprosthesis"
"1174","Thermokeratoplasty"
"1175","Radial keratotomy"
"1176","Epikeratophakia"
"1179","Cornea reconstruct NEC"
"1191","Corneal tattooing"
"1192","Remove corneal implant"
"1199","Corneal operation NEC"
"1200","Remov ant segmnt FB NOS"
"1201","Magnet remov ant seg FB"
"1202","Nonmag remov ant seg FB"
"1211","Iridotomy w transfixion"
"1212","lridotomy NEC"
"1213","Prolapsed iris excision"
"1214","lridectomy NEC"
"1221","Dx aspirat-ant chamber"
"1222","Iris biopsy"
"1229","Ant segment dx proc NEC"
"1231","Goniosynechiae lysis"
"1232","Ant synechia lysis NEC"
"1233","Post synechiae lysis"
"1234","Corneovitreal adhesiolys"
"1235","Coreoplasty"
"1239","Iridoplasty NEC"
"1240","Remov ant segmnt les NOS"
"1241","Nonexc destruc iris les"
"1242","Excision of iris lesion"
"1243","Nonexc destr cil bod les"
"1244","Excise ciliary body les"
"1251","Goniopuncture"
"1252","Goniotomy"
"1253","Goniotomy w goniopunctur"
"1254","Trabeculotomy ab externo"
"1255","Cyclodialysis"
"1259","Facilit intraoc circ NEC"
"1261","Trephin sclera w iridect"
"1262","Thermcaut scler w iridec"
"1263","Iridencleisis/iridotasis"
"1264","Trabeculectorn ab externo"
"1265","Scler fistuliz w iridect"
"1266","Postop revis scl fistul"
"1267","Ins aqueous drain dev"
"1269","Scler fistulizing op NEC"
"1271","Cyclodiathermy"
"1272","Cyclocryotherapy"
"1273","Cyclophotocoagulation"
"1274","Cil body diminution NOS"
"1279","Glaucoma procedure NEC"
"1281","Suture scleral lacer"
"1282","Scleral fistula repair"
"1283","Revis ant seg op wnd NEC"
"1284","Destruct scleral lesion"
"1285","Repair staphylom w graft"
"1286","Rep scler staphyloma NEC"
"1287","Graft reinforce sclera"
"1288","Sclera reinforcement NEC"
"1289","Scleral operation NEC"
"1291","Therapeut evac ant chamb"
"1292","Anterior chamber inject"
"1293","Remov epithel downgrowth"
"1297","Iris operation NEC"
"1298","Ciliary body op NEC"
"1299","Anterior chamber op NEC"
"1300","Remove FB lens NOS"
"1301","Magnet remove FB lens"
"1302","Nonmagnet remove FB lens"
"1311","Temp-inf intrcap lens ex"
"1319","Intracapsul lens ext NEC"
"132","Linear extracap lens ext"
"133","Simpl aspir lens extract"
"1341","Catarac phacoemuls/aspir"
"1342","Post catarac frag/aspir"
"1343","Cataract frag/aspir NEC"
"1351","Temp-inf xtracap lens ex"
"1359","Extracap lens extrac NEC"
"1364","After-catar discission"
"1365","After-cataract excision"
"1366","After catar fragmntation"
"1369","Cataract extraction NEC"
"1370","Insert pseudophakos NOS"
"1371","Insert lens at catar ext"
"1372","Secondary insert lens"
"138","Implanted lens removal"
"139","Other operations on lens"
"1390","OPERATION ON LENS NEC"
"1391","IMPL INTRAOC TELESC PROS"
"1400","Remov post segmnt FB NOS"
"1401","Magnet remov post seg FB"
"1402","Nonmag remov post seg FB"
"1411","Diagnost vitreous aspir"
"1419","Dx proc post seg NEC"
"1419999","Other procedures and operations on cranial nerves olfactory nerve"
"1421","Chorioret les diathermy"
"1422","Chorioretin les cryother"
"1423","Chorioret les xenon coag"
"1424","Chorioret les laser coag"
"1425","Chorioret les p/coag NOS"
"1426","Chorioret les radiother"
"1427","Chorioret les rad implan"
"1429","Chorioret les destr NEC"
"1431","Retinal tear diathermy"
"1432","Retinal tear cryotherapy"
"1433","Retinal tear xenon coag"
"1434","Retinal tear laser coag"
"1435","Retina tear photocoa NOS"
"1439","Retinal tear repair NEC"
"1441","Scleral buckle w implant"
"1449","Scleral buckling NEC"
"1451","Detach retina-diathermy"
"1452","Detach retina-cryotherap"
"1452800","Destruction of cranial nerves trigeminal nerve"
"1453","Detach retina xenon coag"
"1453800","Transposition of cranial nerves trigeminal nerve"
"1453900","Repair of cranial nerves trigeminal nerve"
"1453901","Cranial nerves graft trigeminal nerve"
"1453902","Repair of old traumatic injury of cranial nerves trigeminal nerve"
"1454","Detach retina laser coag"
"1454700","Revision of previous repair of cranial nerves trigeminal nerve"
"1455","Detach ret photocoag NOS"
"1459","Repair retina detach NEC"
"146","Remov pros mat post seg"
"1471","Anterior remov vitreous"
"1472","Vitreous removal NEC"
"1473","Anterior mechan vitrect"
"1474","Mech vitrectomy NEC"
"1475","Vitreous substitut injec"
"1479","Vitreous operation NEC"
"1481","Impl epiretinal vis prosth"
"1482","Rem epiretinal vis prosth"
"1483","Rev/rep epiretin vis pros"
"149","Other post segment ops"
"1501","Extraoc musc-tend biopsy"
"1509","Extraoc musc dx proc NEC"
"1511","One extraoc mus rec"
"1512","1 extraoc muscl advance"
"1513","1 extraoc muscl resect"
"1513800","Transposition of accessory nerve"
"1513801","Accessoryfacial anastomosis accessory"
"1513802","Accessoryhypoglossal anastomosis"
"1519","Xtraoc mus op/detach NEC"
"1519999","Other procedures and operations on cranial nerves accessory nerve"
"1521","Lengthen 1 extraoc musc"
"1522","Shorten 1 extraoc musc"
"1523800","Transposition of hypoglossal nerve"
"1523801","Hypoglossalfacial nerve anastomosis"
"1529","Op on 1 extraoc musc NEC"
"1529999","Other procedures and operations on cranial nerves hypoglossal nerve"
"153","Temp detach >1 xtroc mus"
"1532300","Decompression of cranial nerves"
"1532400","Division of cranial nerves"
"1532409","Lysis of adhesions of cranial nerves"
"1532600","Excision of cranial nerve ganglion"
"1532601","Excision of lesion of cranial nerve"
"1532800","Destruction of cranial nerves"
"1533800","Transposition of cranial nerves"
"1533900","Repair of cranial nerves"
"1533901","Cranial nerves graft"
"1533902","Repair of old traumatic injury of cranial nerves"
"1534700","Revision of previous repair of cranial nerves"
"1535000","Transplantation of cranial nerves"
"1539999","Other procedures and operations on cranial nerves"
"154","Oth op on >1 extraoc mus"
"1540400","Biopsy of facial skin and subcutaneous tissue"
"1541000","Insertion of tissue expander into facial skin"
"1541100","Removal of foreign body from facial skin and subcutaneous tissue"
"1542100","Incision of pilonidal cyst or sinus of facial skin"
"1542198","Other incision of facial skin and subcutaneous tissue"
"1542200","Aspiration of facial skin and subcutaneous tissue"
"1542201","Drainage of facial skin and subcutaneous tissue"
"1542202","Marsupialization of facial skin and subcutaneous tissue"
"1542299","Drainage of facial skin and subcutaneous tissue, unspecified"
"1542600","Excisional debridement of wound, infection or burn of facial skin"
"1542601","Excision of pilonidal cyst or sinus of facial skin"
"1542602","Radical excision of facial skin lesion"
"1542603","Excision of facial skin for graft to other site"
"1542610","Cutting and preparation of pedical grafts of flaps of face"
"1542698","Other local excision of lesion of facial skin and subcutaneous tissue"
"1542800","Nonexcisional debridement of wound, infection or burn of facial skin"
"1542898","Other destruction of lesion of facial skin"
"1543900","Suture of laceration of facial skin"
"1543901","Repair for facial weakness"
"1543998","Other repair of facial skin"
"1544700","Revision of pedicle or flap graft of facial skin"
"1544800","Advancement of pedicle graft of facial skin"
"1544801","Attachment of pedicle or flap graft of facial skin"
"1544802","Facial skin reduction plastic operation"
"1544803","Relaxation of scar or web contracture of facial skin"
"1544898","Other reconstruction of facial skin"
"1545000","Splitthickness facial skin graft"
"1545001","Fullthickness facial skin graft"
"1547410","Facial prosthesis"
"1547411","Facial prosthesis,replacement"
"1547412","Facial augmentation implant prosthesis"
"1547413","Facial moulage(sectional)"
"1547414","Facial moulage(complete)"
"1547499","Unspecified maxillofacial prosthesis,by report"
"1547510","Surgical replacement of craniofacial(osseointegrated) implant for anchoring of facial prosthesis"
"1547700","การบริบาลหญิงตั้งครรภ์ด้วยการนวดที่ใบหน้า"
"1547701","การบริบาลหญิงตั้งครรภ์ด้วยการประคบที่ใบหน้า"
"1547713","การบริบาลหญิงหลังคลอดด้วยการนวดที่ใบหน้า"
"1547714","การบริบาลหญิงหลังคลอดด้วยการประคบสมุนไพรที่ใบหน้า"
"1547810","การนวดด้วยยาหรือน้ำมันหอมระเหยที่ใบหน้า"
"1547811","การนวดด้วยวิธีการแพทย์แผนไทยแบบราชสำนักที่ใบหน้า"
"1547812","การนวดด้วยวิธีการแพทย์แผนไทยแบบเชลยศักดิ์ที่ใบหน้า"
"1547818","การนวดด้วยวิธีการแพทย์แผนไทยแบบอื่นที่ใบหน้า"
"1547819","การนวดด้วยวิธีการแพทย์แผนไทย ไม่ระบุรายละเอียดที่ใบหน้า"
"1547820","การประคบด้วยสมุนไพรที่ใบหน้า"
"1547821","การประคบความร้อนที่ใบหน้า"
"1547822","การประคบความเย็นที่ใบหน้า"
"1549910","Non-surgical treatments e.g.physiotherapy,jaw exercise,occlusal splint,acupuncture medication"
"1549911","Surgical treatments e.g. alcohol injection to the nerves involved,cryosurgery,laser surgery"
"1549998","Other treatments, nonspecified"
"1549999","Other procedures and operations on facial skin"
"155","Extraocul mus transposit"
"156","Revis extraoc musc surg"
"157","Extraoc musc inj repair"
"159","Oth extraoc mus-tend op"
"1590400","Biopsy of maxilla"
"1591100","Removal of external maxillary fixation devices"
"1592200","Marsupialization of lesion of maxilla"
"1592600","Excision of dental (odontogenic) lesion of maxilla"
"1592601","Excision of nonodontogenic lesion of maxilla"
"1592602","Sequestrectomy of maxilla"
"1592603","Alveolectomy of maxilla"
"1592604","Torectomy of maxilla"
"1592610","Partial maxillectomy maxilla"
"1592611","Total maxillectomy, unilateral"
"1592612","Total maxillectomy, bilateral"
"1592698","Other excision operation of maxilla"
"1593600","Closed reduction of maxillary alveolar fracture"
"1593601","Open reduction of maxillary alveolar fracture"
"1593602","Closed - reduction of maxillary fracture"
"1593603","Open reduction of maxillary fracture"
"1593700","External fixation of maxillary fracture"
"1593701","Internal fixation of maxillary fracture"
"1593900","Segmental osteoplasty of maxilla"
"1593901","Total osteoplasty of maxilla"
"1593908","Other repair operation of maxilla"
"1594400","Insertion of synthetic implant in maxilla bone"
"1594500","Removal of internal fixation device from maxilla"
"1594800","Ridge augmentation of maxilla with alloplastic material"
"1594801","Bone graft to maxilla"
"1594802","Bone and soft tissue reconstruction of maxilla"
"1594898","Other reconstructive surgery of maxilla"
"1597430","Surgical stent-upper"
"1597431","Surgical splint-upper"
"1599999","Other procedures and operations on maxilla"
"1600400","Biopsy of mandible"
"1601","Orbitotomy w bone flap"
"1601100","Removal of external mandibular fixation devices"
"1602","Orbitotomy w implant"
"1602200","Marsupialization of mandible"
"1602600","Excision of dental (odontogenic) lesion of mandible"
"1602601","Excision of nonodontogenic lesion of mandible"
"1602602","Coronoidectomy"
"1602603","Sequestrectomy of mandible"
"1602604","Saucerization of mandible"
"1602605","Decortication of mandible"
"1602606","Alveolectomy of mandible"
"1602607","Torectomy of mandible"
"1602610","Partial mandibulectomy mandible"
"1602611","Total mandibulectomy"
"1602698","Other excisional operation of mandible"
"1603600","Closed reduction of mandibular alveolar fracture"
"1603601","Open reduction of mandibular alveolar fracture"
"1603602","Closed reduction of mandibular fracture"
"1603603","Open reduction of mandibular fracture"
"1603700","External fixation of mandibular fracture"
"1603701","Internal fixation of mandibular fracture"
"1603900","Closed osteoplasty of mandibular ramus"
"1603901","Open osteoplasty of mandibular ramus"
"1603902","Osteoplasty of body of mandible"
"1603903","Other orthognathic surgery on mandible"
"1603904","Reduction genioplasty surgery"
"1603998","Other repair operation of mandible"
"1604400","Insertion of synthetic implant in mandible"
"1604500","Removal of internal fixation device from mandible"
"1604800","Augmentation genioplasty internal"
"1604801","Ridge augmentation of mandible with alloplastic material"
"1604802","Bone graft to mandible"
"1604803","Bone and soft tissue reconstruction of mandible"
"1604898","Other reconstruction of mandible"
"1607410","Mandibular resection prosthesis with guide flange"
"1607411","Mandibular resection prosthesis without guide flange"
